,Names,Values
1132,harchaoui,22
1133,sarraj,18
1134,derkaoui,4
1135,contento,4
1136,gwenhael,3
1137,cristoli,10
1138,pawlotsky,4
1139,paturel,9
1140,cetelem,2
1141,guarnieri,4
1142,zemmourfacts,2
1143,senghor,5
1144,delevoye,3
1145,juglar,2
1146,cavusoglu,23
1147,chaabna,4
1148,kozletina,2
1149,torre,16
1150,boubacar,6
1151,dostoievski,4
1152,coldefyfaucard,4
1153,sorokine,2
1154,ucciani,6
1155,skipper,2
1156,billion,31
1157,projetx,6
1158,miasnikov,5
1159,barseghian,16
1160,piolle,43
1161,boudinet,11
1162,neurath,3
1163,gwh,13
1164,audouard,5
1165,wazizi,8
1166,homme,6
1167,darchy,36
1168,platiauversailles,2
1169,versailles,2
1170,fuentesversailles,2
1171,finance,85
1172,takouba,4
1173,stachurski,2
1174,dufresne,92
1175,mirkovic,27
1176,elassad,11
1177,sedille,7
1178,alpha,6
1179,tavares,4
1180,pavesi,5
1181,canico,14
1182,yassine,14
1183,vanhanen,2
1184,abdel,9
1185,bokassa,3
1186,touadera,24
1187,makhlouf,4
1188,zhengfei,5
1189,jesus,21
1190,pellistrandi,5
1191,abdallah,31
1192,lakhdissi,5
1193,bailey,8
1194,batho,8
1195,gauthier,29
1196,epelboin,4
1197,ghannouchi,15
1198,stora,67
1199,oumansour,7
1200,leyraud,7
1201,desforges,5
1202,makoroka,2
1203,nkengurutse,2
1204,bizimana,3
1205,carayon,20
1206,benbassa,7
1207,flahault,22
1208,hautemaniere,34
1209,mbolton,2
1210,rechetnikov,9
1211,rambla,6
1212,lazaoui,19
1213,ferreira,6
1214,otmani,11
1215,djebbari,6
1216,colomina,8
1217,photonis,19
1218,damaisin,6
1219,morrison,29
1220,thuram,4
1221,schleiter,12
1222,ardern,8
1223,carlos,2
1224,guinness,2
1225,hostettler,4
1226,bozize,30
1227,patasse,8
1228,retamalla,2
1229,mcmahon,2
1230,hassanle,275
1231,soleimani,43
1232,tullberggetty,2
1233,bryant,8
1234,drewla,2
1235,benken,35
1236,biatov,4
1237,phillipau,6
1238,kitmitto,2
1239,gabdrahmanov,2
1240,parshin,2
1241,paxton,13
1242,etatsunis,8
1243,wongla,4
1244,vodolazkine,2
1245,chichkine,4
1246,alhusseini,4
1247,hussain,2
1248,hayworth,2
1249,plissetskaia,2
1250,malenkov,4
1251,yousef,2
1252,moricreations,2
1253,morimannequin,2
1254,loyaute,2
1255,dautieu,2
1256,fonck,12
1257,truffaut,2
1258,reliquet,5
1259,ziguele,26
1260,narassiguin,2
1261,paoli,19
1262,pakzad,3
1263,ogliastro,23
1264,afroamericain,2
1265,salahale,2
1266,akylbek,2
1267,klamarle,2
1268,beauvau,21
1269,hourcau,14
1270,ducoudre,10
1271,pandore,2
1272,zuckerman,4
1273,mechichi,8
1274,lfi,36
1275,cofferati,2
1276,castellina,2
1277,regeni,4
1278,yeslam,55
1279,inhofe,2
1280,bricolage,2
1281,cafu,16
1282,beckenbauer,2
1283,simonparmi,2
1284,matthaus,6
1285,ronaldo,27
1286,barthez,8
1287,duflot,16
1288,liscia,11
1289,belhaj,2
1290,leschi,8
1291,gollnisch,4
1292,kotarac,32
1293,rosenwald,3
1294,urbi,7
1295,garofalolumieres,2
1296,boyersdes,2
1297,fongun,2
1298,rashiddes,2
1299,moraesune,2
1300,elliottdes,2
1301,mooremario,2
1302,vasiljevicmesse,2
1303,davidun,10
1304,souleimanun,2
1305,guludec,4
1306,valletoux,4
1307,bondaz,12
1308,kbibech,10
1309,anato,7
1310,hunyadi,4
1311,setrouk,4
1312,vaccintracker,2
1313,kobzev,2
