,Names,Values
1108,alzheimer,30
1109,sibeth,2
1110,blanche,2
1111,funes,2
1112,steven,6
1113,spielberg,10
1114,milchan,5
1115,travolta,2
1116,elois,17
1117,hyperclasse,2
1118,aymeric,11
1119,keys,2
1120,shueibi,5
1121,bouttier,4
1122,rolandgarros,2
1123,ramadan,18
1124,nasrallah,6
1125,snowden,9
1126,tarantino,3
1127,gaultier,2
1128,gallucci,2
1129,sotinel,3
1130,nicolle,39
1131,videos,6
1132,polunin,2
1133,chabloz,6
1134,bronfman,2
1135,dershowitz,2
1136,penaruiz,2
1137,aknin,3
1138,alzraa,2
1139,konbini,11
1140,jeffrey,6
1141,giuffre,2
1142,aniela,11
1143,whitfield,4
1144,timmerman,2
1145,pilichowski,2
1146,priscilla,3
1147,lticia,4
1148,meuse,4
1149,burke,4
1150,coutanceau,3
1151,takagi,2
1152,djerma,2
1153,othman,2
1154,fodio,2
1155,ahmadou,13
1156,sakharov,2
1157,elbechir,2
1158,vanessa,7
1159,clapier,4
1160,sarahhalimi,2
1161,guyon,2
1162,philibert,2
1163,kravis,5
1164,delevoye,2
1165,posobiec,2
1166,endeweld,2
1167,bomberger,2
1168,etchart,3
1169,ecalle,4
1170,gottemoeller,2
1171,ravisegiard,2
1172,milosevic,3
1173,ouattara,6
1174,lelievre,3
1175,barriere,3
1176,soulages,2
1177,claudine,3
1178,abittan,2
1179,touil,4
1180,bukowski,2
1181,showers,2
1182,pietraszewski,3
1183,allison,3
1184,sisley,11
1185,doriot,4
1186,shurkin,2
1187,abdelaziz,3
1188,stenstrom,2
1189,boisvert,3
1190,naegelen,2
1191,arafat,4
1192,beigbeder,21
1193,freycinetferry,2
1194,lavigerie,2
1195,chambord,2
1196,perrault,5
1197,chikirou,2
1198,luce,5
1199,jesoutienshugo,3
1200,gleicher,2
1201,meriguet,4
1202,gilets,2
1203,ozon,4
1204,riocreux,2
1205,katehon,2
1206,khomeini,6
1207,mounk,4
1208,beroud,2
1209,marleau,13
1210,balibar,2
1211,biolay,2
1212,revert,12
1213,wikileaks,5
1214,crepuscule,10
1215,lienemann,2
1216,mouton,5
1217,batiactu,3
1218,carcenac,2
1219,teixeira,4
1220,colombies,9
1221,oussama,2
1222,berthet,6
1223,sebesi,5
1224,broyelle,3
1225,eugenie,2
1226,destouches,2
1227,blondiaux,2
1228,marielle,10
1229,rochefort,2
1230,calmos,15
1231,pastureau,2
1232,rivlin,2
1233,nebenzia,3
